[Thu Jan 17 10:55:56.209693 2019] [mpm_winnt:notice] [pid 12392:tid 824] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Thu Jan 17 10:55:56.210689 2019] [mpm_winnt:notice] [pid 12392:tid 824] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Thu Jan 17 10:55:56.210689 2019] [core:notice] [pid 12392:tid 824] AH00094: Command line: 'D:\\Project\\Website\\WEBSERVER/apache2/bin/httpd_usbwv8.exe -d D:/Project/Website/WEBSERVER/apache2'
[Thu Jan 17 10:55:56.220728 2019] [mpm_winnt:notice] [pid 12392:tid 824] AH00418: Parent: Created child process 1076
[Thu Jan 17 10:55:57.546586 2019] [mpm_winnt:notice] [pid 1076:tid 668] AH00354: Child: Starting 64 worker threads.
[Thu Jan 17 11:01:18.016691 2019] [:error] [pid 1076:tid 1364] [client ::1:52184] PHP Parse error:  syntax error, unexpected ';' in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 19
[Thu Jan 17 11:01:19.135588 2019] [:error] [pid 1076:tid 1364] [client ::1:52184] PHP Parse error:  syntax error, unexpected ';' in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 19
[Thu Jan 17 11:30:36.495313 2019] [:error] [pid 1076:tid 1352] [client ::1:52310] PHP Parse error:  syntax error, unexpected '<' in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 90, referer: http://localhost:8080/login.php
[Thu Jan 17 11:30:51.156562 2019] [:error] [pid 1076:tid 1352] [client ::1:52312] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98, referer: http://localhost:8080/login.php
[Thu Jan 17 11:31:18.462712 2019] [:error] [pid 1076:tid 1352] [client ::1:52314] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 97, referer: http://localhost:8080/login.php
[Thu Jan 17 11:31:35.987270 2019] [:error] [pid 1076:tid 1352] [client ::1:52315] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 97, referer: http://localhost:8080/login.php
[Thu Jan 17 11:31:48.455373 2019] [:error] [pid 1076:tid 1352] [client ::1:52317] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 97
[Thu Jan 17 11:32:56.042280 2019] [:error] [pid 1076:tid 1352] [client ::1:52318] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 97, referer: http://localhost:8080/login.php
[Thu Jan 17 11:33:24.766372 2019] [:error] [pid 1076:tid 1352] [client ::1:52319] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98, referer: http://localhost:8080/login.php
[Thu Jan 17 11:34:57.816625 2019] [:error] [pid 1076:tid 1352] [client ::1:52330] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98
[Thu Jan 17 11:34:59.217369 2019] [:error] [pid 1076:tid 1352] [client ::1:52330] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98
[Thu Jan 17 11:34:59.397476 2019] [:error] [pid 1076:tid 1352] [client ::1:52330] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98
[Thu Jan 17 11:34:59.565135 2019] [:error] [pid 1076:tid 1352] [client ::1:52330] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98
[Thu Jan 17 11:34:59.745564 2019] [:error] [pid 1076:tid 1352] [client ::1:52330] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98
[Thu Jan 17 11:34:59.895262 2019] [:error] [pid 1076:tid 1352] [client ::1:52330] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 98
[Thu Jan 17 11:35:48.930979 2019] [:error] [pid 1076:tid 1352] [client ::1:52340] PHP Parse error:  syntax error, unexpected '<' in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 62, referer: http://localhost:8080/process.php
[Thu Jan 17 11:36:04.240985 2019] [:error] [pid 1076:tid 1352] [client ::1:52342] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 96, referer: http://localhost:8080/process.php
[Thu Jan 17 11:36:23.957009 2019] [:error] [pid 1076:tid 1352] [client ::1:52344] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 96, referer: http://localhost:8080/process.php
[Thu Jan 17 11:36:26.003142 2019] [:error] [pid 1076:tid 1352] [client ::1:52344] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 96, referer: http://localhost:8080/process.php
[Thu Jan 17 11:36:31.158866 2019] [:error] [pid 1076:tid 1352] [client ::1:52345] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 96, referer: http://localhost:8080/process.php
[Thu Jan 17 11:38:17.235927 2019] [:error] [pid 1076:tid 1352] [client ::1:52347] PHP Parse error:  syntax error, unexpected '<' in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 40, referer: http://localhost:8080/process.php
[Thu Jan 17 11:38:18.469586 2019] [:error] [pid 1076:tid 1352] [client ::1:52347] PHP Parse error:  syntax error, unexpected '<' in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 40, referer: http://localhost:8080/process.php
[Thu Jan 17 11:38:41.964345 2019] [:error] [pid 1076:tid 1352] [client ::1:52348] PHP Notice:  Undefined variable: count in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 37, referer: http://localhost:8080/process.php
[Thu Jan 17 11:40:17.124549 2019] [:error] [pid 1076:tid 1352] [client ::1:52352] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 87, referer: http://localhost:8080/process.php
[Thu Jan 17 11:40:18.279407 2019] [:error] [pid 1076:tid 1352] [client ::1:52352] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 87, referer: http://localhost:8080/process.php
[Thu Jan 17 11:40:18.647030 2019] [:error] [pid 1076:tid 1352] [client ::1:52352] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 87, referer: http://localhost:8080/process.php
[Thu Jan 17 11:40:49.641001 2019] [:error] [pid 1076:tid 1352] [client ::1:52353] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 86, referer: http://localhost:8080/process.php
[Thu Jan 17 11:43:02.302055 2019] [:error] [pid 1076:tid 1352] [client ::1:52355] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 86, referer: http://localhost:8080/process.php
[Thu Jan 17 11:43:03.299148 2019] [:error] [pid 1076:tid 1352] [client ::1:52355] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\login.php on line 86, referer: http://localhost:8080/process.php
[Thu Jan 17 11:58:22.830499 2019] [:error] [pid 1076:tid 1352] [client ::1:52402] PHP Parse error:  syntax error, unexpected end of file in D:\\Project\\Website\\WEBSERVER\\root\\pass_reset_process.php on line 80, referer: http://localhost:8080/pass_reset.php
